customer_id,total_orders,total_spent,total_quantity,avg_order_value,first_purchase,last_purchase,customer_lifetime_days
12346,1,77183.6,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0
12347,7,4310.0,2458,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,365
12348,4,1797.24,2341,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,282
12349,1,1757.55,631,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,0
12350,1,334.40000000000003,197,19.67058823529412,2011-02-02 16:01:00,2011-02-02 16:01:00,0
12352,8,2506.04,536,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,260
12353,1,89.0,20,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,0
12354,1,1079.4,530,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0
12355,1,459.40000000000003,240,35.338461538461544,2011-05-09 13:49:00,2011-05-09 13:49:00,0
12356,3,2811.43,1591,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,302
12357,1,6207.67,2708,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,0
12358,2,1168.06,248,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,149
12359,4,6310.03,1609,25.755224489795918,2011-01-12 12:43:00,2011-10-13 12:47:00,274
12360,3,2662.06,1165,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,148
12361,1,189.9,91,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,0
12362,10,5226.2300000000005,2229,19.64748120300752,2011-02-17 10:30:00,2011-12-06 15:40:00,292
12363,2,552.0,408,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132
12364,4,1313.1,1506,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,104
12365,2,641.38,174,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,0
12367,1,168.9,173,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,0
12370,4,3541.94,2352,21.33698795180723,2010-12-14 12:58:00,2011-10-19 14:51:00,309
12371,2,1887.96,591,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,14
12372,3,1298.04,794,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,224
12373,1,364.6,197,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,0
12374,1,742.9300000000001,342,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,0
12375,2,457.5,178,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,87
12377,2,1628.1200000000001,944,21.144415584415587,2010-12-20 09:37:00,2011-01-28 15:45:00,39
12378,1,4008.62,2529,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,0
12379,2,852.24,407,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,88
12380,4,2724.81,1127,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,164
12381,5,1845.31,808,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,115
12383,5,1850.56,1532,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,167
12384,2,585.27,126,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,92
12386,2,401.9,354,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,29
12388,6,2780.6600000000003,1462,27.806600000000003,2011-01-17 11:12:00,2011-11-24 12:30:00,311
12390,1,549.84,353,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,0
12391,1,439.66,293,4.72752688172043,2011-11-18 12:07:00,2011-11-18 12:07:00,0
12393,4,1582.6000000000001,816,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,260
12394,2,1272.48,819,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,153
12395,12,3018.63,2118,19.350192307692307,2010-12-03 16:35:00,2011-11-20 15:21:00,351
12397,2,2409.9,1263,19.126190476190477,2011-07-27 14:21:00,2011-11-04 09:52:00,99
12398,1,1635.6599999999999,1394,19.24305882352941,2011-10-25 10:27:00,2011-10-25 10:27:00,0
12399,4,1108.65,1178,18.790677966101697,2011-03-23 09:42:00,2011-08-12 13:15:00,142
12401,1,84.3,11,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,0
12402,1,225.60000000000002,94,20.50909090909091,2011-01-20 13:49:00,2011-01-20 13:49:00,0
12403,1,427.7,96,85.53999999999999,2011-10-21 10:51:00,2011-10-21 10:51:00,0
12405,1,1710.39,857,31.67388888888889,2011-07-14 08:52:00,2011-07-14 08:52:00,0
12406,2,3415.3,1818,32.52666666666667,2011-06-09 10:23:00,2011-11-17 19:22:00,161
