stock_code,description,total_quantity,total_revenue,avg_unit_price,total_orders,unique_customers,revenue_percentage,cumulative_revenue_percentage,abc_category,avg_daily_demand,demand_std,max_daily_demand,demand_days,safety_stock,reorder_point,inventory_priority,movement_category,avg_daily_demand_capped,reorder_point_capped,annual_demand,holding_cost,eoq
DOT,dotcom postage,706,206248.77,292.13706798866855,706,1,0.01938043812910482,0.01938043812910482,A,3.1101321585903086,2.9556056654624046,21,227,12.902665981238696,34.67359109137086,Critical,Medium Moving,3.1101321585903086,34.67359109137086,706,58.42741359773371,35.0
22423,regency cakestand 3 tier,13851,174156.54,13.983936223218734,1988,881,0.016364849343096538,0.03574528747220136,A,46.01661129568107,47.08803517326246,362,301,205.5623308119393,527.6786098817067,Critical,Fast Moving,46.01661129568107,527.6786098817067,13851,2.796787244643747,704.0
23843,"paper craft , little birdie",80995,168469.6,2.08,1,1,0.015830468513509378,0.051575755985710736,A,80995.0,0.0,80995,1,0.0,566965.0,Critical,Fast Moving,98.84146341463475,691.8902439024432,80995,0.41600000000000004,4412.0
85123A,white hanging heart t-light holder,37580,104284.24,3.1161586452762924,2189,856,0.009799206371803907,0.06137496235751464,A,123.61842105263158,242.4134137334292,3114,304,1058.2532518880244,1923.5821992564454,Critical,Fast Moving,98.84146341463475,1750.1434957904676,37580,0.6232317290552585,2456.0
47566,party bunting,18283,99445.23,5.797928193054738,1685,708,0.009344502404788154,0.0707194647623028,A,62.18707482993197,70.18427015907697,385,294,306.38870590265736,741.6982297121812,Critical,Fast Moving,62.18707482993197,741.6982297121812,18283,1.1595856386109478,1256.0
85099B,jumbo bag red retrospot,48371,94159.81,2.4861972498814606,2089,635,0.008847850932411696,0.0795673156947145,A,161.23666666666668,188.00960799353277,1583,300,820.7540002886878,1949.4106669553546,Critical,Fast Moving,98.84146341463475,1512.644244191131,48371,0.49723944997629216,3119.0
23166,medium ceramic top storage jar,78033,81700.92000000001,1.46848,247,138,0.007677134875281646,0.08724445056999613,A,624.264,6635.405617744854,74215,125,28966.794635779763,33336.64263577976,Critical,Fast Moving,98.84146341463475,29658.684879682205,78033,0.293696,5155.0
POST,postage,3150,78101.88,31.076580817051514,1126,331,0.007338946327324858,0.094583396897321,A,11.454545454545455,8.20632251763464,52,275,35.82461612408368,116.00643430590188,Critical,Fast Moving,11.454545454545455,116.00643430590188,3150,6.215316163410304,225.0
M,manual,6984,77750.27,234.48965189873417,289,197,0.007305906829195611,0.10188930372651661,A,41.32544378698225,186.199283612499,1686,169,812.8510479161436,1102.1291544250194,Critical,Fast Moving,41.32544378698225,1102.1291544250194,6984,46.89793037974684,122.0
23084,rabbit night light,30739,66870.03,2.386401179941003,994,450,0.006283530704723152,0.10817283443123976,A,226.02205882352942,429.84997325788436,2647,136,1876.505615008409,3458.6600267731146,Critical,Fast Moving,98.84146341463475,2568.3958589108524,30739,0.4772802359882007,2538.0
22086,paper chain kit 50's christmas,19329,64875.590000000004,3.362331081081081,1160,613,0.006096120515454087,0.11426895494669385,A,120.05590062111801,161.17441051727184,1079,161,703.6052230946219,1543.996527442448,Critical,Fast Moving,98.84146341463475,1395.4954669970653,19329,0.6724662162162163,1695.0
84879,assorted colour bird ornament,36362,58927.62,1.7225745257452574,1455,678,0.005537211657094488,0.11980616660378834,A,121.20666666666666,227.69450273882435,3359,300,993.9979980866834,1842.44466475335,Critical,Fast Moving,98.84146341463475,1685.8882419891265,36362,0.3445149051490515,3249.0
79321,chilli lights,10302,54096.36,6.7953973013493245,661,205,0.005083235929066539,0.12488940253285488,A,41.7085020242915,77.40514814882837,650,247,337.911374126554,629.8708882965946,Critical,Fast Moving,41.7085020242915,629.8708882965946,10302,1.359079460269865,871.0
23298,spotty bunting,8320,42513.48,5.52396013864818,1140,571,0.00399483530880177,0.12888423784165665,A,44.972972972972975,50.26683499438299,327,185,219.4393485726028,534.2501593834136,Critical,Fast Moving,44.972972972972975,534.2501593834136,8320,1.104792027729636,868.0
22386,jumbo bag pink polkadot,21448,42401.01,2.598733766233766,1218,372,0.003984266916678121,0.13286850475833475,A,74.47222222222223,107.96476031376622,942,288,471.31904514572005,992.6246007012758,Critical,Fast Moving,74.47222222222223,992.6246007012758,21448,0.5197467532467532,2031.0
21137,black record cover frame,11651,40633.38,4.215585106382979,375,140,0.0038181692286766377,0.1366866739870114,A,64.01648351648352,127.66550195638587,1041,182,557.3224291450645,1005.4378137604491,Critical,Fast Moving,64.01648351648352,1005.4378137604491,11651,0.8431170212765958,1176.0
22502,picnic basket wicker 60 pieces,61,39619.5,649.5,2,1,0.00372289865513413,0.14040957264214554,A,61.0,0.0,61,1,0.0,427.0,Critical,Slow Moving,61.0,427.0,61,129.9,7.0
23284,doormat keep calm and come in,5487,38133.64,8.776284153005465,728,378,0.0035832778574027705,0.14399285049954832,A,38.104166666666664,70.06268110211586,533,144,305.85791013132854,572.5870767979952,Critical,Fast Moving,38.104166666666664,572.5870767979952,5487,1.755256830601093,559.0
22720,set of 3 cake tins pantry design,7483,38108.89,5.83371408045977,1385,640,0.003580952190957849,0.14757380269050618,A,28.561068702290076,53.375863893365484,719,262,233.01178209387686,432.9392630099074,Critical,Fast Moving,28.561068702290076,432.9392630099074,7483,1.166742816091954,801.0
22960,jam making set with jars,8695,37082.13,5.077669902912621,1132,573,0.0034844713312007715,0.15105827402170696,A,29.47457627118644,33.79850051629176,245,295,147.54700463744368,353.86903853574876,Critical,Fast Moving,29.47457627118644,353.86903853574876,8695,1.0155339805825243,925.0
82484,wood black board ant white finish,6012,35966.92,8.440540145985402,685,285,0.0033796791503506313,0.1544379531720576,A,23.123076923076923,79.26964055220583,1083,260,346.0507964407187,507.91233490225716,Critical,Fast Moving,23.123076923076923,507.91233490225716,6012,1.6881080291970805,597.0
20725,lunch bag red retrospot,19232,35572.36,2.131853257432005,1564,532,0.0033426037987341365,0.15778055697079174,A,64.53691275167785,60.75529362589012,432,298,265.22660631194134,716.9849955736863,Critical,Fast Moving,64.53691275167785,716.9849955736863,19232,0.426370651486401,2124.0
22197,popcorn holder,36749,34288.67,1.0208363636363635,803,295,0.0032219801721207484,0.1610025371429125,A,241.76973684210526,434.36490092725745,3111,152,1896.2154850794084,3588.6036429741453,Critical,Fast Moving,98.84146341463475,2588.105728981852,36749,0.20416727272727273,4243.0
22178,victorian glass hanging t-light,24275,33146.82,1.6440249759846302,1037,403,0.0031146847284789832,0.16411722187139147,A,83.70689655172414,108.48570913821368,986,290,473.5932418539311,1059.541517716,Critical,Fast Moving,83.70689655172414,1059.541517716,24275,0.3288049951969261,2717.0
22114,hot water bottle tea and sympathy,5740,32973.44,5.024473684210526,643,325,0.003098392847742802,0.16721561471913426,A,49.05982905982906,57.22524921960925,399,117,249.81623394548555,593.235037364289,Critical,Fast Moving,49.05982905982906,593.235037364289,5740,1.0048947368421053,756.0
22910,paper chain kit vintage christmas,10594,32843.840000000004,3.3676774969915764,820,470,0.0030862148125403036,0.17030182953167458,A,71.1006711409396,76.2204967260654,417,149,332.7397905859201,830.4444885724972,Critical,Fast Moving,71.1006711409396,830.4444885724972,10594,0.6735354993983154,1254.0
22112,chocolate hot water bottle,6017,32826.58,6.075206422018349,858,382,0.003084592953839724,0.1733864224855143,A,27.103603603603602,32.70730038183369,146,222,142.78338172992278,332.508606955148,Critical,Fast Moving,27.103603603603602,332.508606955148,6017,1.2150412844036698,704.0
85099F,jumbo bag strawberry,17237,32495.59,2.3821568627450977,812,315,0.0030534910412496393,0.17643991352676394,A,65.79007633587786,111.98278217063614,936,262,488.85967802862467,949.3902123797697,Critical,Fast Moving,65.79007633587786,949.3902123797697,17237,0.47643137254901957,1902.0
22469,heart of wicker small,17963,32094.6,1.959712879409352,1201,573,0.0030158114861890697,0.179455725012953,A,69.62403100775194,138.22398406375854,1405,258,603.4153736444794,1090.783590698743,Critical,Fast Moving,69.62403100775194,1090.783590698743,17963,0.3919425758818704,2141.0
23245,set of 3 regency cake tins,6345,31118.550000000003,5.883424657534246,873,472,0.002924095658570254,0.18237982067152325,A,40.67307692307692,62.60476777283675,616,156,273.3004665828972,558.0120050444357,Critical,Fast Moving,40.67307692307692,558.0120050444357,6345,1.1766849315068493,734.0
21931,jumbo storage bag suki,13651,30764.010000000002,2.746616415410385,1184,333,0.0028907808391204566,0.1852706015106437,A,47.23529411764706,49.60580723172552,249,289,216.553638707596,547.2006975311253,Critical,Fast Moving,47.23529411764706,547.2006975311253,13651,0.549323283082077,1576.0
22727,alarm clock bakelike red,7800,30644.87,4.396880301602262,1051,388,0.0028795856916356906,0.18815018720227938,A,26.896551724137932,61.15856345812923,673,290,266.9870765960844,455.26293866504994,Critical,Fast Moving,26.896551724137932,455.26293866504994,7800,0.8793760603204523,942.0
23199,jumbo bag apples,14908,30450.690000000002,2.5699290060851925,978,344,0.002861339311422565,0.19101152651370196,A,75.29292929292929,109.42412734485383,1054,198,477.68989683483045,1004.7404018853354,Critical,Fast Moving,75.29292929292929,1004.7404018853354,14908,0.5139858012170385,1703.0
