stock_code,description,total_quantity_sold,total_revenue,total_revenue_capped,total_orders,unique_customers,avg_unit_price,avg_quantity_per_order,first_sale_date,last_sale_date,product_active_days,avg_daily_quantity_sold,revenue_per_order
DOT,dotcom postage,706,206248.77,107460.98999999999,706,1,292.13706798866855,1.0,2010-12-01 14:32:00,2011-12-09 10:26:00,372,1.8927613941018766,292.13706798866855
22423,regency cakestand 3 tier,13851,174156.54,124719.01,1988,881,13.983936223218734,6.901345291479821,2010-12-01 12:27:00,2011-12-09 10:23:00,372,37.134048257372655,87.60389336016097
23843,"paper craft , little birdie",80995,168469.6,183.6,1,1,2.08,80995.0,2011-12-09 09:15:00,2011-12-09 09:15:00,0,80995.0,168469.6
85123A,white hanging heart t-light holder,37580,104284.24,73810.85,2189,856,3.1161586452762924,16.74688057040998,2010-12-01 08:26:00,2011-12-08 19:55:00,372,100.75067024128687,47.64012791228872
47566,party bunting,18283,99445.23,73923.43000000001,1685,708,5.797928193054738,10.761035903472632,2010-12-03 11:27:00,2011-12-09 10:23:00,370,49.28032345013477,59.017940652818986
85099B,jumbo bag red retrospot,48371,94159.81,75346.74,2089,635,2.4861972498814606,22.93551446183025,2010-12-01 09:57:00,2011-12-09 10:26:00,373,129.3342245989305,45.07410722833892
23166,medium ceramic top storage jar,78033,81700.92000000001,4458.52,247,138,1.46848,312.132,2011-01-18 10:01:00,2011-12-09 10:03:00,325,239.36503067484662,330.7729554655871
POST,postage,3150,78101.88,65665.99,1126,331,31.076580817051514,2.797513321492007,2010-12-01 08:45:00,2011-12-09 12:16:00,373,8.422459893048128,69.3622380106572
M,manual,6984,77750.27,16389.649999999998,289,197,234.48965189873417,22.10126582278481,2010-12-01 15:35:00,2011-12-08 13:50:00,371,18.774193548387096,269.0320761245675
23084,rabbit night light,30739,66870.03,39992.25,994,450,2.386401179941003,30.225172074729596,2011-05-10 14:20:00,2011-12-09 12:31:00,212,144.31455399061034,67.27367203219316
22086,paper chain kit 50's christmas,19329,64875.590000000004,45374.78,1160,613,3.362331081081081,16.32516891891892,2010-12-01 09:00:00,2011-12-09 12:19:00,373,51.68181818181818,55.92723275862069
84879,assorted colour bird ornament,36362,58927.62,49377.54,1455,678,1.7225745257452574,24.63550135501355,2010-12-01 08:34:00,2011-12-09 12:31:00,373,97.22459893048128,40.50008247422681
79321,chilli lights,10302,54096.36,38003.56,661,205,6.7953973013493245,15.44527736131934,2010-12-01 09:58:00,2011-12-09 12:20:00,373,27.545454545454547,81.84018154311649
