iter	F1	Logloss
0	0.4906988436	0.6798683783
1	0.521194605	0.6693110132
2	0.4967188289	0.6596592411
3	0.4978991597	0.6480077455
4	0.5207509881	0.6391091122
5	0.5228951256	0.6289593961
6	0.5242528172	0.6213262844
7	0.5624716038	0.6131665782
8	0.5651976374	0.6053620687
9	0.5666211915	0.5968519293
10	0.5614997714	0.5919937751
11	0.5604395604	0.5874848331
12	0.5563703025	0.5782398467
13	0.5537609599	0.5741712619
14	0.5566820276	0.5701066698
15	0.5546838948	0.5667370212
16	0.5580315692	0.5621138043
17	0.5647167204	0.5582007366
18	0.5603290676	0.5537364427
19	0.5609867519	0.547168209
20	0.5625570776	0.544365221
21	0.56201373	0.5411958986
22	0.5604395604	0.5372683837
23	0.5591893137	0.5358430446
24	0.561435803	0.5333646079
25	0.5622416169	0.5313275881
26	0.5635612666	0.5288894308
27	0.5634448007	0.5272519286
28	0.5623853211	0.5251296817
29	0.5642432556	0.5237156715
30	0.5638443936	0.5225941013
31	0.5629290618	0.5211200728
32	0.5625286303	0.520041977
33	0.5627864345	0.5189162316
34	0.5654162855	0.5177264828
35	0.5677655678	0.5169491031
36	0.5684306569	0.5143076715
37	0.5688240656	0.5135586945
38	0.5667276051	0.5127979491
39	0.5659340659	0.5115476452
40	0.5652771415	0.5108360078
41	0.5642201835	0.5102093729
42	0.5640790078	0.5093938592
43	0.5638200184	0.5087749803
44	0.5668498168	0.5065963323
45	0.5672461116	0.5054097482
46	0.5652771415	0.5047011386
47	0.5672461116	0.5042519389
48	0.564619615	0.5038341903
49	0.5667125172	0.5033283125
50	0.5653969711	0.5025369088
51	0.5652573529	0.5021797729
52	0.5665591893	0.5018039937
53	0.5670816044	0.5014117406
54	0.5684016582	0.5010149982
55	0.5672055427	0.4994973964
56	0.56362795	0.4990120949
57	0.56362795	0.4987797758
58	0.56362795	0.4983885006
59	0.5660203139	0.4980426493
60	0.5658807212	0.4976526005
61	0.5682656827	0.4973670959
62	0.5614849188	0.4971272291
63	0.5625290563	0.4967949841
64	0.5627906977	0.4964879669
65	0.56133829	0.4961890042
66	0.562412993	0.4959585546
67	0.563197026	0.494905838
68	0.5633410673	0.4940483429
69	0.5633410673	0.4938662966
70	0.5637459434	0.4929649303
71	0.5618292114	0.492822
72	0.5610098177	0.492694758
73	0.561534862	0.4923695803
74	0.5636957536	0.4921483831
75	0.5647716682	0.491938513
76	0.5641025641	0.4917177169
77	0.5645086167	0.4915862461
78	0.5658445789	0.491367678
79	0.5647716682	0.4912025715
80	0.563670412	0.4909910444
81	0.5638148668	0.4907808212
82	0.5658263305	0.4904327525
83	0.5662313433	0.4901951952
84	0.5667600373	0.4900100939
85	0.5662313433	0.4897900338
86	0.5658263305	0.4893772716
87	0.5639344262	0.489123746
88	0.5644859813	0.4884196218
89	0.5651564689	0.4882553802
90	0.5662313433	0.4876437681
91	0.5676937442	0.4874372228
92	0.5683621092	0.4872776461
93	0.5683621092	0.4870375921
94	0.5703634669	0.4868465754
95	0.5690298507	0.4867044336
96	0.5694315005	0.4865477584
97	0.5675549322	0.4864278362
98	0.5679475164	0.4862081037
99	0.5690219934	0.4860478759
100	0.5702286514	0.4858243016
101	0.5699626866	0.4856382021
102	0.5715617716	0.4854007437
103	0.5719608756	0.4851590743
104	0.5734200743	0.4849183734
105	0.5736866574	0.4847551773
106	0.5755462576	0.4844068143
107	0.5740913327	0.4842460775
108	0.5728971963	0.4841095428
109	0.5727655592	0.4838957509
110	0.5727655592	0.4836972071
111	0.5734331151	0.4835751575
112	0.5747663551	0.4833885986
113	0.5746268657	0.4828964581
114	0.5759552656	0.4827452556
115	0.5747554728	0.4822327402
116	0.5758282781	0.4821372383
117	0.5768872321	0.4820379431
118	0.5771561772	0.4819544219
119	0.5776948203	0.4817302192
120	0.578751165	0.4816128267
121	0.5794131346	0.4814162641
122	0.5796831314	0.480920648
123	0.57995338	0.4807012048
124	0.5812761993	0.4804855221
125	0.5806150979	0.4803725048
126	0.5806150979	0.4802149854
127	0.5796831314	0.4800802714
128	0.5802238806	0.4799652746
129	0.5802238806	0.4795927539
130	0.578898226	0.4793951151
131	0.5787751286	0.4792946812
132	0.5791686128	0.4791282843
133	0.5786280915	0.4789983515
134	0.5806150979	0.4786092663
135	0.5806150979	0.4784580379
136	0.5786280915	0.4782562983
137	0.5806150979	0.478108795
138	0.5802238806	0.4779896028
139	0.5802238806	0.4779000122
140	0.5806150979	0.4775329175
141	0.5791686128	0.4774803111
142	0.5798319328	0.4773337445
143	0.578898226	0.4771964915
144	0.5792910448	0.4770876987
145	0.5808857809	0.4769849024
146	0.5798319328	0.4769142963
147	0.5815470643	0.4767746174
148	0.5815470643	0.4766698919
149	0.5815470643	0.4765591402
150	0.5819366853	0.4763852753
151	0.5826330532	0.4761887454
152	0.5811567164	0.4760535354
153	0.5811567164	0.4759434845
154	0.5804946337	0.4758605016
155	0.5820548582	0.4757253839
156	0.5841860465	0.4755813247
157	0.582867784	0.4753816356
158	0.5855018587	0.4752171905
159	0.5843009754	0.475010207
160	0.5849582173	0.474711996
161	0.5837587007	0.4745521824
162	0.5837587007	0.4744751517
163	0.5837587007	0.4743112243
164	0.5849582173	0.4742236826
165	0.5845724907	0.4740514333
166	0.5858867224	0.4739412503
167	0.5878535002	0.4738123089
168	0.5865429234	0.4737007013
169	0.5856148492	0.4736037138
170	0.5875810936	0.4734765589
171	0.5881261596	0.473347276
172	0.5877437326	0.4732563722
173	0.5874709977	0.4731423705
174	0.5880167209	0.4730414029
175	0.5860465116	0.4729549396
176	0.5867038587	0.4727874642
177	0.5879069767	0.4727213622
178	0.5856610801	0.4726121408
179	0.5868653936	0.4725322206
180	0.5879069767	0.472467078
181	0.5879069767	0.4722928761
182	0.5868653936	0.4721738362
183	0.5860465116	0.4719652206
184	0.5889456572	0.4718590255
185	0.5892193309	0.4717699339
186	0.5915623551	0.4717151939
187	0.5918367347	0.4715293258
188	0.5926614027	0.4713341152
189	0.5900418799	0.4712436615
190	0.5905915231	0.471157761
191	0.5905915231	0.4710751271
192	0.5913528591	0.4709013856
193	0.594619666	0.4707171704
194	0.5943439963	0.470614224
195	0.5949953661	0.4703933044
196	0.594068582	0.4701507299
197	0.5934167826	0.4700934533
198	0.5947197777	0.4699398864
199	0.5950948635	0.4698142796
200	0.595194085	0.4696031021
201	0.595567867	0.4694767851
202	0.5962159668	0.4693639485
203	0.5959409594	0.4691847695
204	0.5959409594	0.4690704009
205	0.5968634686	0.4689318359
206	0.5960386918	0.4688561892
207	0.5982512655	0.4687283634
208	0.5975103734	0.4686675782
209	0.5978811608	0.468640519
210	0.597235023	0.4684001276
211	0.597330879	0.4683044705
212	0.5970561178	0.468180381
213	0.5967816092	0.468111729
214	0.5987144169	0.4680421188
215	0.5987144169	0.467996566
216	0.5980707395	0.4679571784
217	0.5983455882	0.4678508173
218	0.5980707395	0.4676706606
219	0.6	0.4675885458
220	0.6	0.4675379421
221	0.6011932079	0.4673790437
222	0.6018348624	0.4673159066
223	0.6014692378	0.4671698187
224	0.6024759285	0.4670502728
225	0.6021998167	0.4669151845
226	0.603116407	0.4667395539
227	0.603116407	0.4666377948
228	0.6037562987	0.4665214316
229	0.6030289123	0.4664541487
230	0.6036697248	0.4663808952
231	0.604587156	0.4663167545
232	0.6039467646	0.4661856131
233	0.604587156	0.4660040315
234	0.6033057851	0.4658958902
235	0.6045016077	0.4657787019
236	0.6051423324	0.4656625871
237	0.6056985294	0.4655299872
238	0.6059770115	0.4654908701
239	0.6068965517	0.4653967285
240	0.6066176471	0.4652928924
241	0.6066176471	0.4651919993
242	0.605614358	0.4650647869
243	0.6046939715	0.4649944595
244	0.6055299539	0.4648027453
245	0.6045223812	0.4647811919
246	0.6038781163	0.4646431749
247	0.6051660517	0.464590991
248	0.6032332564	0.4645191481
249	0.6032332564	0.4644448779
250	0.6032332564	0.4643208017
251	0.6032332564	0.4642427899
252	0.6032332564	0.464182577
253	0.6019417476	0.464100744
254	0.6031452359	0.4638812576
255	0.6035120148	0.4637489391
256	0.6044362292	0.4636005776
257	0.6053604436	0.4634499388
258	0.6053604436	0.463373907
259	0.6047156727	0.4632399174
260	0.6040703053	0.4631672278
261	0.6040703053	0.462989652
262	0.6044362292	0.4628589509
263	0.6047156727	0.4625558219
264	0.6048014774	0.4624255912
265	0.6070110701	0.4622903252
266	0.6054453161	0.462137909
267	0.6086556169	0.4620536622
268	0.6073732719	0.4619374914
269	0.6080147398	0.4618686028
270	0.6073732719	0.4617215703
271	0.6082949309	0.4616499898
272	0.6080147398	0.4614376864
273	0.6067312125	0.4612166979
274	0.6082949309	0.461134023
275	0.6089359742	0.4610300491
276	0.6089359742	0.4608827526
277	0.6089359742	0.4608015185
278	0.6095764273	0.4606790714
279	0.6116236162	0.460491143
280	0.6116236162	0.4603937483
281	0.612263716	0.4602842426
282	0.6109829257	0.4601664743
283	0.6102635229	0.4600236918
284	0.6109057301	0.4599650796
285	0.6102635229	0.4598589342
286	0.6115473441	0.4597672938
287	0.6116236162	0.4596167872
288	0.6116236162	0.4595368488
289	0.6116236162	0.4594090995
290	0.6116236162	0.4592997856
291	0.6116236162	0.4591453015
292	0.6109829257	0.4588468045
293	0.6121883657	0.4586991659
294	0.6121883657	0.4584971144
295	0.612754159	0.4583952149
296	0.612754159	0.458338239
297	0.6166666667	0.4580785662
298	0.6157407407	0.4579473974
299	0.6157407407	0.4578291261
300	0.6156699119	0.4577017636
301	0.6156699119	0.4575372475
302	0.6156699119	0.4573189633
303	0.6156699119	0.457239448
304	0.6150995831	0.4571763418
305	0.6150995831	0.4569997986
306	0.6144578313	0.4568466953
307	0.6151711378	0.4566034413
308	0.6148148148	0.4564495063
309	0.6148148148	0.4563428516
310	0.6156699119	0.4562200965
311	0.6156699119	0.4560502035
312	0.6156699119	0.4559451307
313	0.6163113994	0.4557580337
314	0.6166666667	0.4555532492
315	0.6166666667	0.4554337195
316	0.617946346	0.4552204137
317	0.617946346	0.4551249323
318	0.617946346	0.4549731439
319	0.6185852982	0.4547450751
320	0.6176606565	0.4546582459
321	0.6189376443	0.4545188795
322	0.6189376443	0.4543558777
323	0.62113521	0.4541315587
324	0.6208487085	0.4540999914
325	0.6217712177	0.4538473665
326	0.622406639	0.4536235676
327	0.6245969599	0.4534842363
328	0.6264949402	0.4532806021
329	0.6264949402	0.4532667114
330	0.6261510129	0.4530930099
331	0.6261510129	0.452961078
332	0.6274149034	0.4528312058
333	0.6252302026	0.4526111955
334	0.6271264368	0.452483676
335	0.6271264368	0.4522977378
336	0.6274149034	0.4522020933
337	0.6273606633	0.4520863127
338	0.6270718232	0.4518641045
339	0.6270718232	0.4517622585
340	0.628045977	0.4516232223
341	0.6282818977	0.4514444246
342	0.6292031322	0.4512875309
343	0.6292031322	0.451135038
344	0.6288612264	0.4508813352
345	0.6301243667	0.4507110677
346	0.6301243667	0.4506337678
347	0.6310947562	0.4504189054
348	0.6313851818	0.4502388677
349	0.6316758748	0.4500790015
350	0.6310947562	0.4498483244
351	0.6310947562	0.4497160307
352	0.6310947562	0.4494943747
353	0.6323529412	0.449344781
354	0.6314338235	0.4491728415
355	0.6308045977	0.4489899518
356	0.630174793	0.4488247785
357	0.6308045977	0.4485359966
358	0.6313851818	0.4484245327
359	0.6316758748	0.4482874008
360	0.6329346826	0.4481201422
361	0.6335632184	0.4479211748
362	0.6341911765	0.4477765456
363	0.6344827586	0.4476363523
364	0.6351102941	0.447372442
365	0.6351102941	0.4472466964
366	0.6348185576	0.4471311298
367	0.6366972477	0.4469599471
368	0.6354453627	0.446769793
369	0.6354453627	0.4467569849
370	0.6360715925	0.4467430995
371	0.6363636364	0.4466812601
372	0.6366972477	0.4465405718
373	0.6366972477	0.4463794309
374	0.6366972477	0.4462047883
375	0.6354453627	0.4460064127
376	0.6376546038	0.4458472572
377	0.6376546038	0.4457384794
378	0.6385707742	0.4455793085
379	0.6394869446	0.445448825
380	0.6401098901	0.4452971431
381	0.6389016018	0.4451219195
382	0.6389016018	0.4451155223
