stock_code,description,total_quantity,total_revenue,avg_unit_price,total_orders,unique_customers,revenue_percentage,cumulative_revenue_percentage,abc_category
DOT,dotcom postage,706,206248.77,292.13706798866855,706,1,0.01938043812910482,0.01938043812910482,A
22423,regency cakestand 3 tier,13851,174156.54,13.983936223218734,1988,881,0.016364849343096538,0.03574528747220136,A
23843,"paper craft , little birdie",80995,168469.6,2.08,1,1,0.015830468513509378,0.051575755985710736,A
85123A,white hanging heart t-light holder,37580,104284.24,3.1161586452762924,2189,856,0.009799206371803907,0.06137496235751464,A
47566,party bunting,18283,99445.23,5.797928193054738,1685,708,0.009344502404788154,0.0707194647623028,A
85099B,jumbo bag red retrospot,48371,94159.81,2.4861972498814606,2089,635,0.008847850932411696,0.0795673156947145,A
23166,medium ceramic top storage jar,78033,81700.92000000001,1.46848,247,138,0.007677134875281646,0.08724445056999613,A
POST,postage,3150,78101.88,31.076580817051514,1126,331,0.007338946327324858,0.094583396897321,A
M,manual,6984,77750.27,234.48965189873417,289,197,0.007305906829195611,0.10188930372651661,A
23084,rabbit night light,30739,66870.03,2.386401179941003,994,450,0.006283530704723152,0.10817283443123976,A
22086,paper chain kit 50's christmas,19329,64875.590000000004,3.362331081081081,1160,613,0.006096120515454087,0.11426895494669385,A
84879,assorted colour bird ornament,36362,58927.62,1.7225745257452574,1455,678,0.005537211657094488,0.11980616660378834,A
79321,chilli lights,10302,54096.36,6.7953973013493245,661,205,0.005083235929066539,0.12488940253285488,A
23298,spotty bunting,8320,42513.48,5.52396013864818,1140,571,0.00399483530880177,0.12888423784165665,A
22386,jumbo bag pink polkadot,21448,42401.01,2.598733766233766,1218,372,0.003984266916678121,0.13286850475833475,A
21137,black record cover frame,11651,40633.38,4.215585106382979,375,140,0.0038181692286766377,0.1366866739870114,A
22502,picnic basket wicker 60 pieces,61,39619.5,649.5,2,1,0.00372289865513413,0.14040957264214554,A
23284,doormat keep calm and come in,5487,38133.64,8.776284153005465,728,378,0.0035832778574027705,0.14399285049954832,A
22720,set of 3 cake tins pantry design,7483,38108.89,5.83371408045977,1385,640,0.003580952190957849,0.14757380269050618,A
22960,jam making set with jars,8695,37082.13,5.077669902912621,1132,573,0.0034844713312007715,0.15105827402170696,A
82484,wood black board ant white finish,6012,35966.92,8.440540145985402,685,285,0.0033796791503506313,0.1544379531720576,A
20725,lunch bag red retrospot,19232,35572.36,2.131853257432005,1564,532,0.0033426037987341365,0.15778055697079174,A
22197,popcorn holder,36749,34288.67,1.0208363636363635,803,295,0.0032219801721207484,0.1610025371429125,A
22178,victorian glass hanging t-light,24275,33146.82,1.6440249759846302,1037,403,0.0031146847284789832,0.16411722187139147,A
22114,hot water bottle tea and sympathy,5740,32973.44,5.024473684210526,643,325,0.003098392847742802,0.16721561471913426,A
22910,paper chain kit vintage christmas,10594,32843.840000000004,3.3676774969915764,820,470,0.0030862148125403036,0.17030182953167458,A
22112,chocolate hot water bottle,6017,32826.58,6.075206422018349,858,382,0.003084592953839724,0.1733864224855143,A
85099F,jumbo bag strawberry,17237,32495.59,2.3821568627450977,812,315,0.0030534910412496393,0.17643991352676394,A
22469,heart of wicker small,17963,32094.6,1.959712879409352,1201,573,0.0030158114861890697,0.179455725012953,A
23245,set of 3 regency cake tins,6345,31118.550000000003,5.883424657534246,873,472,0.002924095658570254,0.18237982067152325,A
21931,jumbo storage bag suki,13651,30764.010000000002,2.746616415410385,1184,333,0.0028907808391204566,0.1852706015106437,A
22727,alarm clock bakelike red,7800,30644.87,4.396880301602262,1051,388,0.0028795856916356906,0.18815018720227938,A
23199,jumbo bag apples,14908,30450.690000000002,2.5699290060851925,978,344,0.002861339311422565,0.19101152651370196,A
22470,heart of wicker large,9887,30098.110000000004,3.2850427350427354,925,485,0.002828208665961941,0.1938397351796639,A
22355,charlotte bag suki design,18124,29254.15,1.2166067415730337,882,249,0.002748904849684931,0.19658864002934884,A
